name_desc,seed,batch_size,epochs,space,transfer_space,joint_repr,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,8,150,nb101,nb201,False,adj_gin,2,pwl,False,4,0.6782489819268175,0.4845115339255965,0.006353232584359679,0.004403508745545289
None,42,8,150,nb101,nb201,False,adj_gin,2,pwl,False,8,0.7808340238613695,0.5767288777706275,0.0026590071306701146,0.003464907240315144
None,42,8,150,nb101,nb201,False,adj_gin,2,pwl,False,16,0.7626309020063201,0.5604888046915011,0.003952978347624908,0.004313734258431144
None,42,8,150,nb101,nb201,False,adj_gin_arch2vec,2,pwl,False,4,0.5319762670438766,0.37216524273505924,0.01045484737322202,0.0052741743663681055
None,42,8,150,nb101,nb201,False,adj_gin_arch2vec,2,pwl,False,8,0.7269519870655547,0.5328452197820442,0.009706364863125304,0.009222672843434065
None,42,8,150,nb101,nb201,False,adj_gin_arch2vec,2,pwl,False,16,0.8059068556546949,0.6062156613133063,0.0013323087055028872,0.001163759610393698
None,42,8,150,nb101,nb201,False,adj_gin_zcp,2,pwl,False,4,0.6730388492809447,0.48406216181644274,0.008443116381052947,0.00532528783612934
None,42,8,150,nb101,nb201,False,adj_gin_zcp,2,pwl,False,8,0.7217501296601228,0.5207541902875662,0.0016458064370754339,0.0016905176557819978
None,42,8,150,nb101,nb201,False,adj_gin_zcp,2,pwl,False,16,0.7926274257700675,0.5904102156377747,0.0007909677851060431,0.0005248523911460379
None,42,8,150,nb101,nb201,False,adj_gin_cate,2,pwl,False,4,0.6028308949674365,0.4401971287044546,0.04168028650918476,0.025061458085073703
None,42,8,150,nb101,nb201,False,adj_gin_cate,2,pwl,False,8,0.6803650003584033,0.49487196619946877,0.013178714941034328,0.009106061278078318
None,42,8,150,nb101,nb201,False,adj_gin_cate,2,pwl,False,16,0.7382224281653724,0.5430702652845275,0.00035731886966130794,0.00027561048032582943
