name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,8,150,nb101,class_scene,adj_gin_cate,2,pwl,False,4,0.15672664849129864,0.10660759156529574,0.03385601849352463,0.015457739624690084
None,42,8,150,nb101,class_scene,adj_gin_cate,2,pwl,False,8,0.5660959878325893,0.3981481027301155,0.005724230962546366,0.0035789353388854615
None,42,8,150,nb101,class_scene,adj_gin_cate,2,pwl,False,16,0.6668972241042116,0.4846264588744403,0.0008731421328362351,0.0005348941529509352
None,42,8,150,nb101,class_scene,adj_gin_arch2vec,2,pwl,False,4,0.28632787558847805,0.1947502008663559,0.022141869341164123,0.010705270107482885
None,42,8,150,nb101,class_scene,adj_gin_arch2vec,2,pwl,False,8,0.5760044913619998,0.40958750688529416,0.015132885663392067,0.010433551960471793
None,42,8,150,nb101,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.4152418735176003,0.29139063577834573,0.010637532173562564,0.007211425989773697
None,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,4,0.3365146864056463,0.2308440492767266,0.014056113832179052,0.007366985007131166
None,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,8,0.5879290013547628,0.4194714893038681,0.008150104911517483,0.004768910240073088
None,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,16,0.6158243118519336,0.4375087805249584,0.004112963304255101,0.0030546639356129938
None,42,8,150,nb101,class_scene,adj_gin_zcp,2,pwl,False,4,0.3641087043305264,0.2502468014204475,0.01879324622898983,0.009406151581428442
None,42,8,150,nb101,class_scene,adj_gin_zcp,2,pwl,False,8,0.6371550708191216,0.45711992398531653,0.0029880953806399532,0.002205948451752388
None,42,8,150,nb101,class_scene,adj_gin_zcp,2,pwl,False,16,0.6932430922010532,0.5153701683964692,0.020366157409145533,0.01550451107286896
None,None,18,150,nb101,class_scene,adj_gin,2,pwl,True,72,0.8583583966402903,0.6741338547822249,4.2233672923245684e-05,5.300815462811871e-05
None,None,91,150,nb101,class_scene,adj_gin,2,pwl,True,364,0.9299465207077078,0.7749687687316843,1.6212770275736266e-06,1.7511811446224122e-06
