name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,key,spr,kdt,spr_std,kdt_std
None,42,128,150,nb301,class_scene,adj_gin_arch2vec,2,pwl,False,16,0.5609851451289577,0.4003471413363016,0.027540506719036906,0.016147578853752082
None,42,128,150,nb301,class_scene,adj_gin_arch2vec,2,pwl,False,32,0.7768658526471609,0.585785931741506,0.003218975416531956,0.003000731470142163
None,42,128,150,nb301,class_scene,adj_gin_arch2vec,2,pwl,False,128,0.9219139016667394,0.7616364038469844,4.0336155829520025e-05,8.875845640101635e-05
None,42,128,150,nb301,class_scene,adj_gin_arch2vec,2,pwl,False,256,0.9474677673508323,0.8054486327814142,1.5462586126689737e-05,6.110563874497776e-05
None,42,128,150,nb301,class_scene,adj_gin_arch2vec,2,pwl,False,512,0.9537302062817069,0.8186256741435157,5.8739828508571536e-06,2.4770300276934914e-05
None,42,128,150,nb301,class_scene,adj_gin_cate,2,pwl,False,16,0.6317325231778576,0.4571870767102282,0.017718190077643855,0.011995220918482314
None,42,128,150,nb301,class_scene,adj_gin_cate,2,pwl,False,32,0.8258700768992849,0.6359089431421832,0.0012685896437518698,0.001603417639581148
None,42,128,150,nb301,class_scene,adj_gin_cate,2,pwl,False,128,0.9368696371724691,0.7872258459821451,1.3019688318641562e-06,1.035615639056226e-05
None,42,128,150,nb301,class_scene,adj_gin_cate,2,pwl,False,256,0.9524190730307301,0.8146085057373781,2.5490367867073773e-05,9.143299302461428e-05
None,42,128,150,nb301,class_scene,adj_gin_cate,2,pwl,False,512,0.9558741399939813,0.822937627637692,3.1762870866372753e-06,1.3288273132813578e-05
None,42,128,150,nb301,class_scene,adj_gin,2,pwl,False,16,0.6294226497995127,0.45750702887760647,0.022633222940045664,0.015499830601836751
None,42,128,150,nb301,class_scene,adj_gin,2,pwl,False,32,0.8497924688871906,0.6624305337707573,0.0005393278206172079,0.0008062302085720035
None,42,128,150,nb301,class_scene,adj_gin,2,pwl,False,128,0.9350832698088037,0.7837303641844615,1.5940154432913516e-05,6.458993164429823e-05
None,42,128,150,nb301,class_scene,adj_gin,2,pwl,False,256,0.9529037647692734,0.8156369553158181,1.2468987890851911e-05,5.1242391421383805e-05
None,42,128,150,nb301,class_scene,adj_gin,2,pwl,False,512,0.9580404367944931,0.8268708875258589,1.6347803813391812e-05,6.721184148919945e-05
