name_desc,seed,batch_size,epochs,source_space,target_space,task,representation,joint_repr,loss_type,gnn_type,back_dense,periter_sampes,samp_lim,source_samps,timesteps,transf_ep,lr,transfer_lr,num_samps,av_best_acc,av_median_acc,av_mean_acc,best_acc_std,median_acc_std,mean_acc_std
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  4,                  0.7697697697697694,                  0.5750750750750749,                  0.547297297297297,                  0.05804079685415173,                  0.12962351010969644,                  0.089439173364351
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  8,                  0.9389952874098272,                  0.6349683016349678,                  0.6119562900951895,                  0.0491157440580753,                  0.05436686286721392,                  0.04813829479280425
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  12,                  0.9547353454200097,                  0.6323823823823821,                  0.635819428290382,                  0.055775504390522,                  0.0472467347262992,                  0.0346683177092735
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  16,                  0.9959720420072266,                  0.7208041374708039,                  0.6840666744885393,                  0.00244501236084485,                  0.007055498983580566,                  0.019489567967629195
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  24,                  0.9959720420072266,                  0.781031031031031,                  0.717732303385913,                  0.00244501236084485,                  0.046487758915793785,                  0.002472556973359526
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  28,                  0.9959720420072266,                  0.786453119786453,                  0.7272158958713707,                  0.00244501236084485,                  0.022894212981741505,                  0.009279242049151057
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  32,                  0.996813127381866,                  0.7925425425425425,                  0.7243101053447111,                  0.0029495633914377196,                  0.01980089456166376,                  0.024981890800321087
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  48,                  0.9987584203903678,                  0.8217384050717383,                  0.7512377156525444,                  0.00036334241970996807,                  0.0026978581295956845,                  0.02570083869432202
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  64,                  0.9987584203903678,                  0.8333333333333334,                  0.7539088239286134,                  0.00036334241970996807,                  0.008885352367270586,                  0.01309922001939135
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  96,                  0.9992579208898684,                  0.8273273273273274,                  0.7601537989690543,                  0.0006118447420035679,                  0.00764254048785208,                  0.006763812275382011
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  128,                  0.9992579208898684,                  0.8405905905905907,                  0.7633941459898885,                  0.0006118447420035679,                  0.0038171709004496453,                  0.009102117446627386
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_cate,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  192,                  0.999757421389369,                  0.838672005338672,                  0.7690421763538539,                  0.0003430579610959853,                  0.0016515673901588111,                  0.0038620540983496728
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  4,                  0.9529529529529529,                  0.7201368034701368,                  0.6748832165498833,                  0.025481325448163877,                  0.12392523333987357,                  0.0759086009058888
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  8,                  0.9544544544544543,                  0.7212212212212212,                  0.6500458792125459,                  0.02448874839384399,                  0.05097739490094589,                  0.06289377486096025
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  12,                  0.988988988988989,                  0.7330663997330663,                  0.6708096985874764,                  0.0,                  0.05464452963260343,                  0.03869959375897872
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  16,                  0.988988988988989,                  0.6916916916916916,                  0.6494202535869202,                  0.0,                  0.02820621181902977,                  0.006529941972028742
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  24,                  0.988988988988989,                  0.685602268935602,                  0.6454162495829162,                  0.0,                  0.024386527009505696,                  0.023720395423946515
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  28,                  0.988988988988989,                  0.688605271938605,                  0.6544759044759045,                  0.0,                  0.012569661504585244,                  0.014310742734216425
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  32,                  0.98998998998999,                  0.6999499499499496,                  0.668836275261978,                  0.001415629191564628,                  0.027736790666009342,                  0.020756745102307784
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  48,                  0.98998998998999,                  0.7129629629629628,                  0.6639234762449718,                  0.001415629191564628,                  0.037322261132836626,                  0.018792987115468507
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  64,                  0.9936603269936604,                  0.7238905572238906,                  0.676473085243174,                  0.003303134780317517,                  0.010145342539546683,                  0.008326251604839548
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  96,                  0.9948130610370217,                  0.742826159492825,                  0.6978196196643766,                  0.004353515966712926,                  0.03214154653773891,                  0.02207907490205693
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  128,                  0.9989701314180528,                  0.7721054387721055,                  0.7212573483915395,                  0.0006845737035855433,                  0.030510923577535428,                  0.022358235384891435
exp8,                  42,                  16,                  150,                  NASNet,                  ENAS_fix-w-d,                  class_scene,                  adj_gin_arch2vec,                  True,                  pwl,                  ensemble,                  True,                  8,                  512,                  512,                  2,                  5,                  0.001,                  0.0001,                  192,                  0.9996361320840533,                  0.7943777110443776,                  0.7327993293374186,                  0.00025729347082202825,                  0.025348537295603442,                  0.010737438197492913
