comment,seed,batch_size,hidden_size,num_layers,epochs,space,representation,pwl_mse,test_tagates,key,spr,kdt
default_1_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8325099503782687,0.6413753384568077
default_1_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9370978879741465,0.7858494980142334
default_1_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9381861847822721,0.7866001962688419
default_1,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.2345740316095794,0.16036597067594355
default_1,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.46867758111518376,0.32041784564888526
default_1,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.44673648944613653,0.30444509591565555
default_1_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7968042565087783,0.5993886288763993
default_1_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8809049060543517,0.6985564440863097
default_1_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9006195330541975,0.7256533637722143
default_1_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8682667149946414,0.6818731784005848
default_1_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9381277834439476,0.7841428617984418
default_1_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9376952184344332,0.7847483474634839
default_1_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8064906402432656,0.6142897310053731
default_1_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9285524305400138,0.7672748771251703
default_1_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9344844984017121,0.7792347304726239
default_1_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.844210205369704,0.6549736193627218
default_1_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9202908038827162,0.7605662940575422
default_1_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9376382521340783,0.7845122227116212
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8556136981393021,0.6668000447526862
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9311261868804247,0.7756640602412133
default_1_rs_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9404542515567968,0.790474096365719
default_2_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8620486972442691,0.6768327746642839
default_2_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.92050315141418,0.7605738922733999
default_2_rs_opattn_zsasp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.94025350341723,0.7892224686703282
default_2,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.259657287756308,0.17674200159190803
default_2,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.4646933435370961,0.3180247949261919
default_2,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.45703337439222164,0.31214338672647773
default_2_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7888720577740995,0.5884811931892151
default_2_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.8795413966893258,0.6985486014705199
default_2_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.8968215311399181,0.721745874606508
default_2_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.7898014388924404,0.5987530077662004
default_2_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.924234661090459,0.7599182691278075
default_2_opattn_zsasp_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9340138433477455,0.776512242910327
default_2_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8388909531946827,0.6493624918425462
default_2_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,364,0.9211878527412479,0.7598963429368857
default_2_rs_opattn_zcp,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,728,0.9351380106731304,0.7790765627386947
default_2_rs_opattn,None,16,512,2,150,nb101,adjgin_zcp,pwl,True,72,0.8406879116928131,0.6503922002000806
